Id,Miestas,Gatve,Namas,Butas,Plotas,Kaina,KainaM2,Tipas,lat,lng
122,Panevėžio m.,Liepų al.,7,81,23,,,Savivaldybės būstas,,
123,Panevėžio m.,Liepų al.,7,82,23,,,Savivaldybės būstas,,
124,Panevėžio m.,Liepų al.,7,89,18,,,Savivaldybės būstas,,
125,Panevėžio m.,Margių g.,17,2,43,23.51,0.55,Savivaldybės būstas,55.724216,24.372515
126,Panevėžio m.,Margių g.,5,7,25,14.09,0.56,Savivaldybės būstas,55.72594,24.371672
127,Panevėžio m.,Molainių g.,102,40,64,43.59,0.68,Savivaldybės būstas,55.722828,24.318604
128,Panevėžio m.,Molainių g.,106,1,64,43.8,0.68,Savivaldybės būstas,55.72228,24.3169
129,Panevėžio m.,Molainių g.,106,15,50,35.1,0.7,Savivaldybės būstas,55.72228,24.3169
130,Panevėžio m.,Molainių g.,106,8,50,35.07,0.7,Savivaldybės būstas,55.72228,24.3169
131,Panevėžio m.,Molainių g.,108,31,50,35.05,0.7,Savivaldybės būstas,55.722557,24.317623
132,Panevėžio m.,Molainių g.,112,8,35,25.11,0.72,Savivaldybės būstas,55.7232,24.317984
133,Panevėžio m.,Molainių g.,18,42,49,34.96,0.71,Savivaldybės būstas,55.72331,24.333925
134,Panevėžio m.,Molainių g.,24,28,50,35.13,0.7,Savivaldybės būstas,55.72309,24.33303
135,Panevėžio m.,Molainių g.,28,32,36,25.27,0.7,Savivaldybės būstas,55.722298,24.333162
136,Panevėžio m.,Molainių g.,40,17,36,25.25,0.7,Savivaldybės būstas,55.72375,24.331627
137,Panevėžio m.,Molainių g.,70,11,33,23.24,0.7,Savivaldybės būstas,55.722313,24.323973
138,Panevėžio m.,Molainių g.,76,16,86,58.55,0.68,Savivaldybės būstas,55.722168,24.323074
139,Panevėžio m.,Molainių g.,76,41,64,43.44,0.68,Savivaldybės būstas,55.722168,24.323074
140,Panevėžio m.,Marių g.,17,1,36,15.79,0.44,Savivaldybės būstas,55.730774,24.386847
141,Panevėžio m.,Marių g.,24,1,40,17.53,0.44,Savivaldybės būstas,55.730503,24.388098
142,Panevėžio m.,Marių g.,6A,,52,,,Savivaldybės būstas,,
143,Panevėžio m.,Marių g.,9,2,27,11.79,0.44,Savivaldybės būstas,55.73059,24.384829
144,Panevėžio m.,T. Moigio g.,7,2,60,,,Savivaldybės būstas,,
145,Panevėžio m.,Marijonų g.,36,51,15,,,Savivaldybės būstas,,
146,Panevėžio m.,Marijonų g.,36,51A,15,,,Savivaldybės būstas,,
147,Panevėžio m.,Marijonų g.,36,56,14,,,Savivaldybės būstas,,
148,Panevėžio m.,Marijonų g.,36,59,17,,,Savivaldybės būstas,,
149,Panevėžio m.,Marijonų g.,36,65,22,,,Savivaldybės būstas,,
150,Panevėžio m.,Marijonų g.,36,78,16,,,Savivaldybės būstas,,
151,Panevėžio m.,Marijonų g.,36,83,14,,,Savivaldybės būstas,,
152,Panevėžio m.,Marijonų g.,36,87,18,,,Savivaldybės būstas,,
153,Panevėžio m.,Marijonų g.,36,93,23,,,Savivaldybės būstas,,
154,Panevėžio m.,Marijonų g.,49,10,26,,,Savivaldybės būstas,,
155,Panevėžio m.,Marijonų g.,49,108,25,,,Savivaldybės būstas,,
156,Panevėžio m.,Marijonų g.,49,113,25,,,Savivaldybės būstas,,
157,Panevėžio m.,Marijonų g.,49,115,25,,,Savivaldybės būstas,,
158,Panevėžio m.,Marijonų g.,49,118,25,,,Savivaldybės būstas,,
159,Panevėžio m.,Marijonų g.,49,122,25,,,Savivaldybės būstas,,
160,Panevėžio m.,Marijonų g.,49,19,26,,,Savivaldybės būstas,,
161,Panevėžio m.,Marijonų g.,49,22,26,,,Savivaldybės būstas,,
162,Panevėžio m.,Marijonų g.,49,23,27,,,Savivaldybės būstas,,
163,Panevėžio m.,Marijonų g.,49,24,26,,,Savivaldybės būstas,,
164,Panevėžio m.,Marijonų g.,49,25,25,,,Savivaldybės būstas,,
165,Panevėžio m.,Marijonų g.,49,26,25,,,Savivaldybės būstas,,
166,Panevėžio m.,Marijonų g.,49,29,25,,,Savivaldybės būstas,,
167,Panevėžio m.,Marijonų g.,49,30,26,,,Savivaldybės būstas,,
168,Panevėžio m.,Marijonų g.,49,51,26,,,Savivaldybės būstas,,
169,Panevėžio m.,Marijonų g.,49,71,25,,,Savivaldybės būstas,,
170,Panevėžio m.,Marijonų g.,49,72,25,,,Savivaldybės būstas,,
171,Panevėžio m.,Marijonų g.,49,75,27,,,Savivaldybės būstas,,
172,Panevėžio m.,Marijonų g.,49,80,25,,,Savivaldybės būstas,,
173,Panevėžio m.,Marijonų g.,49,81,25,,,Savivaldybės būstas,,
174,Panevėžio m.,Marijonų g.,49,83,25,,,Savivaldybės būstas,,
175,Panevėžio m.,Marijonų g.,49,84,25,,,Savivaldybės būstas,,
176,Panevėžio m.,Marijonų g.,49,95,27,,,Savivaldybės būstas,,
177,Panevėžio m.,Marijonų g.,49,98B,25,,,Savivaldybės būstas,,
178,Panevėžio m.,Margirio g.,11,1,56,41.37,0.74,Savivaldybės būstas,55.717644,24.346548
179,Panevėžio m.,Margirio g.,11,10,56,41.83,0.75,Savivaldybės būstas,55.717644,24.346548
180,Panevėžio m.,Margirio g.,11,11,56,41.57,0.74,Savivaldybės būstas,55.717644,24.346548
181,Panevėžio m.,Margirio g.,11,12,69,51.29,0.74,Savivaldybės būstas,55.717644,24.346548
182,Panevėžio m.,Margirio g.,11,13,56,41.52,0.74,Savivaldybės būstas,55.717644,24.346548
183,Panevėžio m.,Margirio g.,11,14,56,41.45,0.74,Savivaldybės būstas,55.717644,24.346548
184,Panevėžio m.,Margirio g.,11,16,69,51.47,0.75,Savivaldybės būstas,55.717644,24.346548
185,Panevėžio m.,Margirio g.,11,17,56,41.48,0.74,Savivaldybės būstas,55.717644,24.346548
186,Panevėžio m.,Margirio g.,11,18,56,41.57,0.74,Savivaldybės būstas,55.717644,24.346548
187,Panevėžio m.,Margirio g.,11,19,56,41.59,0.74,Savivaldybės būstas,55.717644,24.346548
188,Panevėžio m.,Margirio g.,11,2,56,41.45,0.74,Savivaldybės būstas,55.717644,24.346548
189,Panevėžio m.,Margirio g.,11,20,69,51.34,0.74,Savivaldybės būstas,55.717644,24.346548
190,Panevėžio m.,Margirio g.,11,4,70,51.77,0.74,Savivaldybės būstas,55.717644,24.346548
